Indicator,Geographic area,2023/01,2023/02,2023/03,2023/04,2024/01,2024/02,2024/03,2024/04
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over (Number of people) Quarterly  /a /f1,21 Puebla,270847,264620,273291,248738,220438,234402,276775,259497
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over (Number of people) Quarterly  /a /f1,22 Querétaro,38293,30642,40352,47496,36280,31024,38311,32247
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over (Number of people) Quarterly  /a /f1,23 Quintana Roo,39223,34009,36457,42800,36072,34518,31634,25423
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over (Number of people) Quarterly  /a /f1,24 San Luis Potosí,72651,71056,64224,68059,58292,60725,67629,67152
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over (Number of people) Quarterly  /a /f1,25 Sinaloa,48287,33246,33976,34445,36003,37462,37255,32949
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over (Number of people) Quarterly  /a /f1,26 Sonora,33617,28757,26708,30473,21509,24673,23699,22330
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over (Number of people) Quarterly  /a /f1,27 Tabasco,38994,36698,39206,41631,50037,35219,44470,54241
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over (Number of people) Quarterly  /a /f1,28 Tamaulipas,38383,39545,30904,37678,37063,35998,50289,49863
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over (Number of people) Quarterly  /a /f1,29 Tlaxcala,36343,39485,43182,46310,43815,43267,48206,45143
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over (Number of people) Quarterly  /a /f1,30 Veracruz de Ignacio de la Llave,243716,274539,197786,215593,195494,163345,238756,218113
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over (Number of people) Quarterly  /a /f1,31 Yucatán,59038,65532,63511,53143,52966,52826,46791,43629
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over (Number of people) Quarterly  /a /f1,32 Zacatecas,38976,47007,48904,42743,40418,36559,38565,32618
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,00 Estados Unidos Mexicanos,1532525,1582488,1662289,1587342,1426417,1446422,1642330,1540497
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,01 Aguascalientes,3142,4385,4651,3171,4198,3801,3737,3559
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,02 Baja California,6264,5312,6472,8015,5742,5689,5966,3254
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,03 Baja California Sur,1364,1235,2113,2245,2126,1310,1957,967
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,04 Campeche,18011,17879,18636,16004,17058,14054,17816,16833
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,05 Coahuila de Zaragoza,4448,6112,6757,8899,4384,8972,7570,8100
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,06 Colima,4187,3260,3604,3852,4135,3016,3909,3541
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,07 Chiapas,210421,214063,235049,209641,188825,181556,192706,200423
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,08 Chihuahua,12481,10637,8730,6073,8454,9984,22482,11458
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,09 Ciudad de México,19735,27694,32897,32500,48657,41812,35559,26220
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,10 Durango,13995,17459,24606,16199,16965,7979,12291,14627
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,11 Guanajuato,39634,34141,64649,43860,35152,35984,45426,41613
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,12 Guerrero,223550,237368,257639,268457,193172,221945,249923,214254
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,13 Hidalgo,36746,47423,45330,43270,58332,45341,67590,60989
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,14 Jalisco,39547,41301,31988,31444,32056,32590,31951,31932
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,15 México,100173,112972,115733,91727,81949,130399,109246,111819
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,16 Michoacán de Ocampo,64095,57578,68751,67125,63076,52417,48293,53629
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,17 Morelos,9541,12357,10420,17783,14901,16478,15060,9726
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,18 Nayarit,18868,20193,16376,18344,13326,13822,13622,16917
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,19 Nuevo León,17013,23230,20290,25039,21330,14127,14231,12666
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,20 Oaxaca,198063,198239,235244,208895,206666,227951,266772,210858
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,21 Puebla,116450,122822,117251,114017,89587,92060,124268,137041
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,22 Querétaro,21874,19298,21806,27710,20149,16201,21316,17044
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,23 Quintana Roo,23098,17684,20893,22236,22508,20835,20487,12989
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,24 San Luis Potosí,37834,34730,31522,32518,27283,34372,38234,40715
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,25 Sinaloa,22104,12400,13281,13688,12312,14482,17910,12296
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,26 Sonora,11538,8839,10715,9027,5751,8908,5413,8271
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,27 Tabasco,16964,16355,15206,19476,27571,15035,21034,28500
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,28 Tamaulipas,14330,13045,11887,18831,17192,15877,26517,25143
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,29 Tlaxcala,14883,17032,19286,20347,18446,19523,22853,23608
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,30 Veracruz de Ignacio de la Llave,161849,174913,135157,141591,119426,98400,141238,145838
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,31 Yucatán,31138,34833,33310,26061,28550,24831,21310,19812
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  men (Number of people) Quarterly  /a /f1,32 Zacatecas,19185,17699,22040,19297,17138,16671,15643,15855
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,00 Estados Unidos Mexicanos,1385776,1403428,1479101,1395149,1351810,1306576,1433662,1259945
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,01 Aguascalientes,7164,10589,9571,7556,7507,9384,8135,6702
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,02 Baja California,10481,10764,15522,16167,11169,13354,10631,10426
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,03 Baja California Sur,2578,5241,4799,6627,8926,3818,6351,3327
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,04 Campeche,13337,13817,12872,11485,12915,13170,12626,10407
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,05 Coahuila de Zaragoza,12601,16057,15112,15164,14306,14238,11802,11553
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,06 Colima,7511,6883,8807,6545,6502,5924,6150,4664
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,07 Chiapas,93106,83598,89174,84279,71633,64119,59240,60547
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,08 Chihuahua,15586,17109,13047,13728,10082,11826,17495,14609
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,09 Ciudad de México,51171,42549,57970,42302,75848,52842,67215,63089
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,10 Durango,13812,14732,16232,15707,15659,15495,16168,14586
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,11 Guanajuato,54193,65217,76754,70064,59431,62219,59761,46459
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,12 Guerrero,106627,117393,150393,140612,119735,111425,132147,133268
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,13 Hidalgo,50349,50142,46627,46182,41525,51749,55312,52675
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,14 Jalisco,79401,66495,69677,52245,73019,55145,49779,52364
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,15 México,163268,167099,197399,167585,155883,180030,172470,157097
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,16 Michoacán de Ocampo,48591,63593,54203,56488,63007,63688,60003,58615
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,17 Morelos,20760,22902,20067,18308,22245,17550,21290,18029
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,18 Nayarit,17024,18965,18732,19415,14244,15489,18233,16325
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,19 Nuevo León,38498,32068,28670,40120,26410,30757,30864,25779
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,20 Oaxaca,112597,102729,127326,120260,119290,101531,151833,103331
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,21 Puebla,154397,141798,156040,134721,130851,142342,152507,122456
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,22 Querétaro,16419,11344,18546,19786,16131,14823,16995,15203
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,23 Quintana Roo,16125,16325,15564,20564,13564,13683,11147,12434
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,24 San Luis Potosí,34817,36326,32702,35541,31009,26353,29395,26437
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,25 Sinaloa,26183,20846,20695,20757,23691,22980,19345,20653
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,26 Sonora,22079,19918,15993,21446,15758,15765,18286,14059
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,27 Tabasco,22030,20343,24000,22155,22466,20184,23436,25741
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,28 Tamaulipas,24053,26500,19017,18847,19871,20121,23772,24720
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,29 Tlaxcala,21460,22453,23896,25963,25369,23744,25353,21535
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,30 Veracruz de Ignacio de la Llave,81867,99626,62629,74002,76068,64945,97518,72275
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,31 Yucatán,27900,30699,30201,27082,24416,27995,25481,23817
Demography and Society > Employment and Occupation > Employment and occupation > Employed population who does not receive incomes-15 years and over  women (Number of people) Quarterly  /a /f1,32 Zacatecas,19791,29308,26864,23446,23280,19888,22922,16763
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,00 Estados Unidos Mexicanos,7177443,7386704,8074849,7750017,7858210,8069308,7894758,9290127
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,01 Aguascalientes,234130,254417,278078,275865,258942,276457,277833,271117
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,02 Baja California,463498,461449,470342,522500,516114,527335,439557,513614
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,03 Baja California Sur,20739,29450,29636,30857,25753,24880,28187,23267
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,04 Campeche,15600,11930,13438,14353,9433,10654,9847,16427
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,05 Coahuila de Zaragoza,99450,90018,106471,105914,123484,123529,124675,134017
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,06 Colima,55739,60799,54971,59057,60072,59896,61699,64889
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,07 Chiapas,25122,34015,26157,32771,25809,31897,40072,32678
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,08 Chihuahua,237420,245494,264577,236810,243229,237230,240103,304161
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,09 Ciudad de México,598665,715960,681504,627966,583117,726787,534847,766492
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,10 Durango,44819,50073,51937,49569,40249,43818,48366,63453
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,11 Guanajuato,660900,617775,672008,599215,660365,661852,577661,635737
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,12 Guerrero,89243,88755,122303,117003,105563,95923,121150,135253
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,13 Hidalgo,181758,186746,184376,190290,244650,211012,185142,198639
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,14 Jalisco,385065,408204,483405,432580,411483,417078,459264,634629
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,15 México,770121,717876,909715,955943,1127431,1062429,1260353,1452414
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,16 Michoacán de Ocampo,118666,146550,149796,146491,187192,193621,227273,276207
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,17 Morelos,328977,316871,367854,357357,365411,361098,344098,340025
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,18 Nayarit,40917,50691,48428,33444,35320,38581,36944,39419
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,19 Nuevo León,317876,362047,325045,362883,356124,460682,447046,510702
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,20 Oaxaca,156352,158783,187513,177769,223147,192373,164590,209305
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,21 Puebla,285700,278365,299083,196761,212591,173131,192560,280586
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,22 Querétaro,309882,333148,403120,394280,389292,429863,408743,474128
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,23 Quintana Roo,66491,51530,70946,58686,58163,52317,48857,80840
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,24 San Luis Potosí,212284,218108,232882,255727,211729,208774,210599,300086
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,25 Sinaloa,187358,199063,163418,196569,171629,186945,199190,211496
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,26 Sonora,277391,293935,333984,296422,289797,299397,276508,342700
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,27 Tabasco,105474,105842,105294,137837,80274,135302,143736,128343
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,28 Tamaulipas,150150,138699,150827,165535,150747,154647,157947,152411
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,29 Tlaxcala,62470,78100,79338,76363,74640,72040,72069,76011
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,30 Veracruz de Ignacio de la Llave,460392,464751,559643,412418,401505,408066,363931,400339
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,31 Yucatán,87131,82584,85377,87394,75556,64152,70743,87390
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over (Number of people) Quarterly  /a /f1,32 Zacatecas,127663,134676,163383,143388,139399,127542,121168,133352
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,00 Estados Unidos Mexicanos,4533808,4587961,5087813,4850739,4884908,5006694,4860943,5640043
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,01 Aguascalientes,137838,156138,171444,171119,159294,168889,170971,163696
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,02 Baja California,291111,293370,299638,334699,329276,326435,268123,324516
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,03 Baja California Sur,13874,17577,18085,20410,16630,16420,18259,15516
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,04 Campeche,10263,7603,8796,9649,6288,6659,6565,11016
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,05 Coahuila de Zaragoza,62708,56411,68011,67213,76332,77519,77675,80507
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,06 Colima,36644,39533,35360,37813,35621,35662,37502,36964
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,07 Chiapas,17380,25709,16623,22930,16420,20876,23727,21747
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,08 Chihuahua,162673,157563,170230,153758,153401,156254,156299,202130
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,09 Ciudad de México,356373,405590,404533,357292,322029,406466,296681,417434
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,10 Durango,28883,33398,33855,29519,24765,28133,29771,39757
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,11 Guanajuato,432090,405792,436331,378747,440281,414316,371351,383685
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,12 Guerrero,52901,53696,71448,73235,61990,56100,73412,77100
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,13 Hidalgo,100918,113923,107332,118199,148790,129456,112367,122251
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,14 Jalisco,225470,243051,294228,276932,262534,270259,279343,387739
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,15 México,482022,435100,570765,580087,696860,626974,740241,860747
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,16 Michoacán de Ocampo,81310,95295,102636,98507,116256,128788,154785,172733
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,17 Morelos,196565,185779,221378,209086,219257,221868,212936,197438
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,18 Nayarit,26660,33364,32987,21164,21173,24501,24907,25729
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,19 Nuevo León,219534,237064,208381,238482,220834,292764,274150,316319
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,20 Oaxaca,96042,96961,124053,110730,142321,120113,106444,129171
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,21 Puebla,190806,166530,193814,126982,135425,112763,124670,169696
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,22 Querétaro,188467,204073,252030,234260,237943,255795,239687,278090
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,23 Quintana Roo,42926,31637,41476,35510,35169,29401,29208,49423
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,24 San Luis Potosí,134314,140731,144145,155557,135615,128316,125053,183512
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,25 Sinaloa,127680,132316,106220,127905,107482,123366,121792,141936
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,26 Sonora,167802,180064,206501,190375,182295,190069,169280,202821
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,27 Tabasco,68308,66654,70289,90175,51269,89532,88448,78330
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,28 Tamaulipas,93103,84778,92619,110151,95994,91037,96823,97692
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,29 Tlaxcala,37918,49400,49007,47849,47241,44902,45146,47298
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,30 Veracruz de Ignacio de la Llave,307202,294804,374839,272447,236301,284596,252364,260390
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,31 Yucatán,59158,53975,55381,56397,52640,40552,45240,55142
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  men (Number of people) Quarterly  /a /f1,32 Zacatecas,84865,90082,105378,93560,97182,87913,87723,89518
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,00 Estados Unidos Mexicanos,2643635,2798743,2987036,2899278,2973302,3062614,3033815,3650084
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with unspecified incomes-15 years and over  women (Number of people) Quarterly  /a /f1,01 Aguascalientes,96292,98279,106634,104746,99648,107568,106862,107421
